pkid,name,description,tkmodel,tkdeviceprotocol
11c99680-dd30-3242-016c-5815cf7bc735,SEPF0B2E58FABF2,3332103043 - Dispatch (DRS),683,11
23998724-e838-66d6-3bfd-6f816694b517,SEPDCEB94BD4B19,3332103007 - Office 5 (DRS),683,11
7418b904-58af-849b-6ae1-7d8d24183fb7,SEPF0B2E58E26FF,3332103003 - Office 1 (DRS),683,11
a0d5292e-92cd-08ee-bd11-6f39bd7a0542,SEPF0B2E58E63A5,3332103800 - Telcom Room (DRS),683,11
f234fb63-75d4-7be5-d746-4ddf6c55a8d5,SEP00D6FE05D4E3,3335543005 - Office 3 (KTL),683,11
f5002680-93e1-aa33-fd74-7b050c673040,SEPCC5A535FAC1A,3335543320 - Shop Office (KTL),683,11
2f47199f-33ae-4a90-4ce8-5bb4d983085a,SEPB4A8B969557F,3335543301 - Shop (KTL),683,11
67fe27aa-3e43-77ee-cfb9-51f7afba7b1f,SEPF0B2E58E1EA4,3337953007 - Office 5 (EVV),683,11
6d9b2025-9a56-7538-d634-9c0b5042e6e4,SEPF0B2E58E2335,3337953042 - Dispatch 3 (EVV),683,11
4754291a-d6c2-1abc-1a68-b60fe5399311,SEPF0B2E58E228B,3337953006 - Office 4 (EVV),683,11
16c2b8d1-c7b6-5812-c3b0-e7b6c2f5c653,SEPDCEB94BD4DB7,3337953070 - Break Room (EVV),683,11
0e0bc16e-d707-17b5-3bc0-fab16128b906,SEPF0B2E58E1DB7,3337953005 - Office 3 (EVV),683,11
55840143-4bb8-9bfe-35eb-43dc42285b26,SEPF0B2E58E263A,3337953004 - Ginny McCandless (EVV),683,11
9babbb1a-0b73-793e-ea2d-692ae4fbf55e,SEPF0B2E58F65FC,3337953002 - Josh Barnes (EVV),683,11
085899d7-58df-37fe-5e76-ebdcc76518fc,SEPF0B2E58E20EE,3331823008 - Dock Wall (SLM),683,11
4e26246e-3918-1295-2dab-f7029355e38a,SEPF0B2E58E264D,3331823003 - Office 1 (SLM),683,11
a819e3e4-94a5-3f76-153c-20a8f750c7a6,SEPF0B2E58FAADA,3331823013 - Breakroom (SLM),683,11
b26f135d-8233-26fc-4520-566173cf78f9,SEPC0F87F754701,3331823014 - Casondra VanDoren(SLM),683,11
b3fcb92e-4906-33e8-9ba5-760127d9c245,SEPDCEB94BD4EDC,3331823004 - Office 2 (SLM),683,11
e231276e-5906-98ab-f6d6-273e453dad8a,SEP00AF1F9CA0C4,3333903003 - Stephanie Larson (TYR),683,11
403ecc0c-2a95-2d40-5f77-2669bb60c1f5,SEP204C9ED6E0C9,3333903700 - Dock (TYR),683,11
37d28484-06af-0fdd-d6a6-985b690d1edb,SEP00AF1F9D2718,3333903800 - Telco Room (TYR),683,11
3838d943-c40c-0c8f-50d1-d7717ef9fda7,SEP00D6FE05DDC9,3333903027 - VIckie Lopez (TYR),683,11
17a41339-058e-fc39-4f5e-44a164efcc41,SEP00AF1F9D813C,3333903004 - Dispatch (TYR),683,11
3b68aeb9-0568-0fbb-84b9-20cfcfbcc2b7,SEPBCC493A50CF2,3335053005 - Office 3 (SLO),683,11
344ae885-5e12-bb03-8e6e-e0d4d64b7724,SEP04BD97D390A7,3335053020 - Office 2 (SLO),683,11
5798e13f-e32e-60a0-275b-367aad6bef29,SEPDCEB94BDB214,3331503040 - Dispatch 1 (LOW),683,11
4cce4142-9491-9d4d-0062-479da4bc08b2,SEP00D6FE05DB6A,3331503006 - General Office 4 (LOW),683,11
55ac2f35-b8b9-a8b8-3fc0-f3184907a614,SEPF0B2E58F6543,3331503005 - General Office 3 (LOW),683,11
a557398f-2c21-57d8-ba84-e8d88d3905d2,SEPF0B2E58E1E87,3331503013 - Open 3 (LOW),683,11
c3e55678-66e2-c61a-dace-f6e3d113c74b,SEPF0B2E58E6162,3331503012 - Scott Wessel (LOW),683,11
43838137-8b83-7279-6791-b8cee7480d76,SEP00AF1F9C9C69,3338613016 - Amy Campbell (PIT),683,11
47e962f8-1152-1e7c-31f0-9431a385e0e0,SEP00AF1F9D6BAD,3338613031 - Conference Room (PIT),683,11
36053772-7d59-8c98-af6c-6eb64988ec4c,SEP00AF1F9C9C9B,3338613007 -  Niki Mascaro-Link,683,11
192ecef8-0e0b-acb8-64cd-f96aa527bc49,SEP00CCFC4A013C,3338613017 - Margie Jurysta (PIT),683,11
1b27de98-df58-3d32-dc10-10f83cf40245,SEP00AF1F9DD752,3338613008 - Baylee Baptiste (PIT),683,11
bb418914-bcc5-fe6d-be41-91b0047f3f36,SEP00AF1F9D2E27,3338613018 - Abby McCambridge (PIT),683,11
c19d7889-b3e8-9f6b-e837-2a5c3536e0f4,SEP00AF1F9D2433,3338613015 - Amy Campbell (PIT),683,11
dbb8096c-ac5e-c19e-195f-fed83914dda8,SEPBCC493A51EE8,3333103004 - Office 2 (WFT),683,11
60ff7ae8-0f4b-6274-f7ad-7d92ac417149,SEPBCC493A50C10,3333103005 - Office 3 (WFT),683,11
4c44a1db-60e3-ff76-77a5-00b2b278d2fb,SEPBCC493A50B91,3333103003 - Office 1 (WFT),683,11
bb6cad9b-2618-25d7-4ae0-7bcb3108514a,SEP70C9C669E3D1,3338403040 - Dispatch 1 (LCH),683,11
270d7d40-349b-3bf8-1df9-c4bc16200b8f,SEP00CCFC4B6A5C,3335443700 - Dock Stand (PKB),683,11
962d899a-1229-dc5b-9443-a77062e1ee7f,SEP689E0B29BD2B,3335443002 - Tyler Cancade  (PKB),683,11
3fa49ff5-bf64-a3d9-dabf-384da95a118b,SEPDCEB94BD49AE,3339523004 - Office 5 (PCA),683,11
883559ee-8944-6363-62e6-4c2a37881c12,SEPF0B2E58FAA46,3339523008 - Office 1 (PCA),683,11
6ca72c8c-bc41-667a-32c0-31c190c37e68,SEP00B0E15F4DAC,3335683302 - Shop Bay (BGM),683,11
588b064e-5262-d1d5-a2c3-023dfac057cb,SEP00B0E15F3402,3335683010 - Office (BGM),683,11
ec91fb7c-92f5-2821-4732-e524c6dbc65b,SEP00B0E15F500F,3335683700 - Dock Stand (BGM),683,11
27318532-246f-abc1-783a-1686ea727f5a,SEP00B0E15F4EAD,3335683073 - Meeting Room (BGM),683,11
0969bbba-9082-363d-7514-0dbbe824797f,SEP5CB12EE2219A,3335683005 - Office (BGM),683,11
483fbdb4-351c-5b70-d444-cbd2272fc543,SEP00B0E15F2082,3335683370 - Shop Breakroom (BGM),683,11
af6eaa1f-c9ee-dc20-11cb-ccecd6d63e79,SEP00B0E15EF41B,3335683301 - Shop Parts (BGM),683,11
b06972dd-5bd1-1b74-c4a8-3f012a5e6471,SEP00B0E15F5018,3335683800 - Telco Room (BGM),683,11
701291c9-118e-4469-ed71-175d1d4fc5fa,SEPF0B2E58E1DFA,3333993101 - Dusty Greer (EDA),683,11
7054091d-8d46-2335-a7f7-42f67d9c26d9,SEP28AFFDCB4F43,3333993069 - Dockstand 5 (EDA),683,11
ea9b63a0-c937-51b1-6f89-3a505245ca93,SEPF0B2E58E1F16,3333993305 - Shop Break (EDA),683,11
1f0ca9b0-6439-4d26-9904-fa02028a29e8,SEPF0B2E58E22D0,3333993104 - Stephanie Carter (EDA),683,11
2a704ec4-0a08-f212-7ecc-84d44310ae70,SEP204C9ED64AA3,3333993302 - Shop Tech (EDA),683,11
521563d8-9556-513d-94a3-41fcaed659ae,SEPF0B2E58E177A,3333993060-Luis Sanchez,683,11
95791266-c6cc-1cbd-13b3-42a7259b847d,SEPDCEB94BD4BEE,3333993057 - Imaging Station (EDA),683,11
b2194ac4-55df-6886-9116-095bc68394d8,SEPDCEB94BD4B7D,3333993044 - Fabiola Campos (EDA),683,11
b9740e44-2ef9-5eca-e4f3-ca47ca4c6b1e,SEPF0B2E58E1AD2,3333993012 - Ops Office 2 (EDA),683,11
29e4c1a0-2e1e-2a4e-efbc-3a5b4f3dee9b,SEPE8EB34D98790,3332603602 - Road B,683,11
899526cc-9ab8-743e-7885-ff92d8e34ab3,SEPDC774C952E1F,3332603044 - Admin Support B,683,11
80f315ec-52e3-c14d-b86f-ba8011e097d9,SEPA03D6E4FB23F,3332603043 - Dispatch B,683,11
93380741-7caf-4be1-47a2-87bee58a1a85,SEPBCE7127EC362,FXF-RDU - 3332603004 - Operations Room B,683,11
b4124c11-cf3c-6afd-d6eb-942d40e47b9e,SEPA03D6E4FB274,3332603703 - Center Dock Stand - Right (RDU),683,11
b5279af9-68d3-bb1e-4c09-6bc46428ece6,SEPDC774C94EB00,3332603305 - Shop CBE Room B(RDU),683,11
c4142b24-7c9e-6b2f-e783-bae6473c8f39,SEPE8EB34D98A77,3332603803 - MOD D (RDU),683,11
33f60f1b-627a-22fc-f2ac-dc1c4b803f35,SEP00AF1F9D4D99,3335763024-Kyle Demers,683,11
5c8a6ad2-77a3-d778-bc64-31085b60de72,SEP00AF1F9CAD0B,3335763003 - Andrew Hunger (HFD),683,11
20b7d10c-7cf3-1c73-c455-732971c0a162,SEP00AF1F9D4E6C,3335763320 - Shop 1 (HFD),683,11
55d0af34-b91d-f65f-3fe2-aecabde2b3f3,SEP00AF1F9D5052,3335763070 - Break Room (HFD),683,11
9923e014-bee6-5ef4-ffdd-e10a3fed3019,SEP247E12BFA397,3331403302 - SHOP BAY 1 (TXK),683,11
03f816cd-7123-cb93-6d81-0c065812a61a,SEPF0B2E58F6775,3334193005 - Office 3 (DPL),683,11
3337610d-2ce1-e5b7-4222-71e2a3180a7d,SEPC0F87F9CF105,Alex Gray,683,11
acc69b41-2c0a-73af-c83a-d829260dd8fa,SEPF0B2E58E25DD,3334193004 - Office 2 (DPL),683,11
76e851ec-44f9-29e8-5f64-bbcd25de591f,SEPCC5A535ED5AA,3333123020 - Main Dockstand (FTW),683,11
5552496a-be67-d02b-14dc-8ec86bdf652c,SEPBC8D1F17C318,3333123031 - WEST #1,683,11
9547f547-8874-9b22-b3b0-3e2333139fd0,SEPC0F87FCB3C42,3333123009 - East 1 (FTW),683,11
b421eafa-ecc3-e92c-a1a2-ead3ca72e9d8,SEPCC70ED56E9FC,3333123053 - North 2 (FTW),683,11
b876c63d-d9a2-8a9e-02bb-84be253211c1,SEPDCEB94BD4F8B,3333123030-Derek Fox,683,11
c7936785-d7dd-95b3-5ae5-82994dea9615,SEPF0B2E58E1B71,3333123301 - Art Ortiz (FTW),683,11
72c29c45-808e-a388-0191-9492bf3bfd1b,SEP00AF1F9D52DE,3338673041 - Dispatch 2 (WPT),683,11
864cecfa-4e05-e607-9388-e3e7e8de76d9,SEPF0B2E58E6140,3332683021 - Fuel (GSP),683,11
741c7594-8764-20e3-ef17-9df0bb748a08,SEPF0B2E58E1AC5,3335313006 - Jose Martins (VBE),683,11
1db8a6d5-5ce7-90cb-3a2d-0f6e965d3eb8,SEP74860B71B492,3335083001 - Office 2 (BIS),683,11
780a97dd-bf60-f81b-da51-3ddc2ea87771,SEP0041D29380D0,3333583008 - Erin Reesman (NDA),683,11
79c3e025-35d1-1764-c11c-db358001c13a,SEP0041D2935494,3333583052 - Courtney Gregory (NDA),683,11
5236e022-e8e0-d30d-4873-606b5cb8fc20,SEP0041D2937C89,3333583034 - Michael Lancaster (NDA),683,11
a4a49812-6489-980b-d837-dc477ab6f102,SEP0041D2935243,3333583950 - Executive off (NDA),683,11
c8ad40b3-cb8a-3199-051c-564c2d3e499c,SEP8C941F2A34DE,3339603004 - Ray Rollins (DOT),683,11
30cd8b90-d6f1-4079-d2c6-a18d0db0df25,SEP00AF1F9CE58E,3333023013 - Jesse Salce (HRL),683,11
af62e42d-c938-defd-f21e-3443f530e44d,SEP0029C2C92D92,3333023301-Parts (HRL),683,11
8134ede3-fcd2-ec7c-26bb-0c2225a5438c,SEP00AF1F9DCA62,3334703005-Jason Sellers,683,11
9008d13c-1919-f948-1489-8548dd4e00a5,SEP00AF1F9D5DEC,3334703008-Patty Austin,683,11
646c094f-c93b-ce8d-d94c-c8a9dece8dba,SEP007E95FD4CBB,3338713709 - Donna Rodriguez (POS),683,11
3f07ca4c-44f1-3609-8c43-67108ae6b090,SEPA4B439D3B37B,3338713035 - Frank Angelo  (POS),683,11
350c6170-a732-126c-715b-91519efc2b5c,SEP00AF1F9CE656,3332593016 - Tina Hale (GBO),683,11
887b3084-795b-57c9-bf63-9af2dff251d9,SEPD0E042A72400,3335503709 - Vacant (KCY),683,11
07518e5c-10ac-720c-0e97-9bb598f18fc2,SEP00AF1F9D2A75,3337393044 - Omar Lozano,683,11
f5c6aaca-97e7-b66b-d79b-9650bbefe71b,SEP00AF1F9D7C47,3332305555 - Check in,683,11
c6a0768c-89bf-4dde-3eb6-cca4691b5152,SEP0041D2F9BFFA,3333503900 - Doug Clavier (HOU),684,11
e141b5ab-8522-8f26-6115-d647f6292058,SEP2C01B5E4F8EE,3333503067-Adalberto Torres,683,11
fb81f1fc-e9b4-1b1b-0fd7-db9ee8a7f3f3,SEP00AF1F9D46E1,3333503032-Chez Melancon,683,11
f3928d18-c5c8-a618-3ebd-c8a66b64e25d,SEP0041D2F99A94,3333503001-Mason Quintanilla,684,11
723158ca-2423-1b45-c6fa-05cf596a8b81,SEP00AF1F9DDEAC,3333503040 - Marc Lester (HOU),683,11
5b9a01b9-1c1c-2bc9-79f0-1e9312d7b307,SEP00AF1F9DD5D0,3333503086 - Spare Phone (HOU),683,11
60baf53e-521d-8184-3c87-d5758140d40f,SEP5006AB0974E2,3333503023 - Donald Moten (HOU),684,11
20306542-9afe-4711-2760-b03eb671c6dc,SEP045FB9003C7F,3333503066 - Augustine B (HOU),683,11
12f48cfb-678c-3397-b3b6-546732f8f249,SEP6026AAB35274,SEP6026AAB35274,683,11
15e64ac7-83eb-72b8-4b9c-82ae0d7da5e8,SEP2C01B5E4F906,3333503042 -Patrick Omile (HOU),683,11
84d0b10e-734d-788f-ee3f-d821dc941a79,SEPC4B9CDD9B11E,3333503063-Isaac Barbosa,683,11
8886960a-1564-0f0e-b7fa-61445a793bfa,SEP00AF1F9D8A43,3333503008-Anikka Cox,683,11
800e3d19-6680-3e3b-a90c-7b5b904844e4,SEP00AF1F9D8739,3333503203 -Zuleima Gonzalez (HOU),683,11
09ec8589-085c-1eba-5e91-2c686d391982,SEP00AF1F9D44D7,3333503021 - Sam Spark (HOU),683,11
49142d94-1218-2815-5c26-1c5cd6d8cd82,SEP00AF1F9CA0B0,3333503005 - Stacey Culpepper (HOU),683,11
111765aa-b4d0-c3e8-bf2b-8f5330501437,SEP00CCFC4B644A,3332503022-Dylan Moore,683,11
b0bb45e6-9e07-d778-9930-c7836af755b0,SEP00AF1F9CA0DD,3333503800 - Telco (HOU),683,11
b1fcc63b-36f3-f28a-ccf8-4bb8ecf6c923,SEP00AF1F9D2943,3333503013 - Alfred Hunt (HOU),683,11
b8d79a9a-f51c-6170-e617-f430526dd8d7,SEP00AF1F9DDFEC,3333503704-Broderick Johnson,683,11
bd569eff-03bd-9807-3c08-3fbac08ae839,SEP7001B5DB6370,3333503300 - Jesse Waite  (HOU),684,11
c2614f73-2baa-8ab1-ef24-494a54c08caa,SEPCC8E7148F943,3333503035 - Deneen Roberson (HOU),683,11
c91b615d-c899-f2d9-065c-6cabe794ee8a,SEP0041D2F9A190,3333503030-Emerit Euseda,684,11
1fe87168-a933-0f19-480a-902e9ee573eb,SEP00CCFC4A35B1,3335343041 - Minda Montes (FTA),683,11
4a8ae163-d9fd-4bd2-d9a0-081880b180bc,SEP5488DECE1714,3333833005 - Connie Horner (EKC),683,11
cfd7eb17-19e5-ecd8-916f-ff2e428f43ce,SEP8C941FFF6CAB,3339903008 - Amber Wetmore (TOL),683,11
45bbcda4-ab90-a283-5601-6ee9523c6d4a,SEP34F8E77B4410,3334873041 - Dispatch (FAR),683,11
4622e179-c499-5e37-1fe9-25878ef356be,SEP689E0B29BBBA,3339903301 - Shop Parts (TOL),683,11
633a89a2-62ed-ba2f-a9c2-17db7db07a86,SEP0476B04757D2,3331303003 - Chance Walker (FSM),683,11
10862d1e-5868-41e5-d07f-c86cc1123aaa,SEP689E0B29BEA2,3339903303 - Shop 2 (TOL),683,11
64e54444-c52a-6c87-6e8f-b2aa0011a933,SEP689E0B13BEE2,3333403300 - Jesse Garcia (WCO),683,11
cbecb3ff-fa79-9991-bcce-dbba16e82224,SEP5488DECE1B59,3333403001 - Robert Farmer (WCO),683,11
d344c5b8-f25d-60e0-daf2-b34f3a4f48ec,SEP0476B0D8A2B5,3333403002 - Office (WCO),683,11
d8ea6673-afda-c7c1-0403-d471c0d37c47,SEP5488DECE1B5E,3333403302 - Shop 1 (WCO),683,11
e0c09407-06b2-5c57-0fc0-183fa0785479,SEP5488DECE1B63,3333403041 - Dispatch 1 (WCO),683,11
48044d80-433f-f7de-3be1-4db866844e96,SEP0476B0C4CA9C,3333403003 - Patti Tekell (WCO),683,11
5b08d7f1-4777-a033-4d79-8599dbb4997d,SEP689E0B154F57,3333403044 - Jakob Kostroun (WCO),683,11
5f4b293f-3560-108c-4677-4f0d4272e135,SEP5488DECE1AD7,3333403702 - Dock Stand 3 (WCO),683,11
75c2875e-3c88-661b-1626-a88bf1bad062,SEP5488DECE1AD6,3333403070 - Employee Breakroom (WCO),683,11
8dea6fd9-afe3-f321-266f-8dcd42d7459e,SEP689E0B13BEE9,3333403040 - Gary Autrey (WCO),683,11
04f114e7-f8d3-63c8-1a99-0d64236f767b,SEP0476B0D8A2C0,3333403800 - Telco Room (WCO),683,11
a17ba16e-9459-5e12-f5fe-73303b98c99b,SEP5488DECE1B61,3333403000 - Randy Snow (WCO),683,11
a3eb5b52-7f01-1d2c-2e18-c86ecbab3ba3,SEP0476B0D8A2B0,3333403042 - Shafer McAlister (WCO),683,11
a8d4e2c7-51c8-d172-44a4-1ef77f309e4d,SEP0476B087D4B1,3333403043 - Noah Russell (WCO),683,11
932f2e51-a8e6-edce-d78c-c59778a60ee1,SEP0476B0E76C63,3333403006 - RENAY FORD (WCO),683,11
95f0c460-0c01-e25e-c5a4-3e8083d50ce8,SEP689E0B154F14,3333403004 - Office (WCO),683,11
dc3071dd-0055-0d2a-8d40-a099358fabcd,SEP5488DEFFFFE0,3335543702 - Dock Stand 3 (KTL),683,11
fb972937-9ea9-7cbb-1ecf-4aca27ed47f5,SEP689E0B03B693,3335543050 - Supervisor 5 (KTL),683,11
ff9fd0c3-b807-9c87-37ab-f8fb873702e2,SEP8C941FFFF9A8,3335543008 - Office 6 (KTL),683,11
edee117f-0c30-fdb3-38b0-45f9f38af1c9,SEP5488DECE1719,3335543040 - Dispatch 1 (KTL),683,11
9ab89c63-e8b3-4256-0f57-0f6b8db58b6b,SEP0476B04757B8,3335543041 - Dispatch 2 (KTL),683,11
b5e86d09-af51-75bc-0441-1004cac94ee0,SEP0476B0475797,3335543049 - Supervisor 4 (KTL),683,11
099627ff-7ad3-85fc-cd89-2c0726e2fe83,SEP2C57415E5B9D,3333543005 - Office (FLG),683,11
92bee443-5a9f-aab3-f0f3-d0cc7edcd465,SEP2C57415E579F,3333543003 - Christine Jones (FLG),683,11
cd8015fe-b8e0-2573-23ec-8cc423d30a5f,SEP8C941FFF6484,3339903700 - Cris Shiple (TOL),683,11
d8bcc958-579f-e739-5e1b-ab4997362790,SEP2C01B5E58234,3339903701- IB/OB condo,683,11
e277f438-e4f5-ed30-b6f5-d9d024cb9679,SEP8C941FFF6CAC,3339903016 - Alanna McLemore (TOL),683,11
e36c3b6e-0d96-bfc1-d647-f297eb150a8e,SEP8C941FFF64FD,3339903004 - Jason Smith (TOL),683,11
3c86d8b1-1e68-8d66-e69d-d3b520ff75dd,SEP8C941FFF6C8D,3339903042-Sente Stewart,683,11
44d44884-0da0-22c7-4d07-4c5ce13f1bb8,SEP5488DE6C9F5D,3339903048 - Canada Condo 2 (TOL),683,11
5dab76cc-e093-63e9-e20e-70c809934b5b,SEP689E0BF68146,3339903304 - Shop 3 (TOL),683,11
11e0c60b-b09b-90a5-5ce9-63bf0bc7102b,SEP5488DE6C9F60,3339903006 - Fred Lavoy (TOL),683,11
85c10aae-5909-a417-33ba-e392a0325d86,SEP8C941FFF60C0,3339903007 -  Renee LaRue (TOL),683,11
7ae11e95-354c-fe84-bc18-ca00d84b65e7,SEP8C941FE1D2DC,3339903019- Billy Orth (TOL),683,11
0afe6a4b-cace-ddd3-b6c2-cf00dbae0b5a,SEP8C941FFF6506,3339903020 - Ariel + Ken (TOL),683,11
4cdc1202-3bb7-f8e9-d827-d24cedd76e07,SEP8C941FFF6094,3339903012 - Jeff Sharpe (TOL),683,11
31f88209-df65-47a7-7305-2d0d0b1c3e21,SEP689E0B05A702,3331303302 - Shop Parts (FSM),683,11
afccbb19-7e38-a731-0552-bb0cdd61c7ed,SEP0476B0691776,3331303004 - Todd Mayberry (FSM),683,11
ba52b5f9-a11e-4110-6195-70a837aa6667,SEP5488DECE181A,3331303070 - Breakroom (FSM),683,11
793bf563-245c-ecae-7959-cf1c2d481656,SEP0041D2F804C6,3338753080 - Front Desk (IND),684,11
a13d3f8c-cab7-4892-c30b-a5a0b0149210,SEP0041D2F9AE98,3335303042 - Dispatch 2 (STR),684,11
5050ed1f-bcf9-b9cd-f43e-ad25466a1316,SEP0041D2F812FA,3334433026 - Mike McCabe (EFH),684,11
df82e067-caaf-bbf2-3151-20d0b62619af,SEP689E0B29907A,3335863800 - Telco Room (WOR),683,11
6d041804-e649-dbd7-2ea9-67b4bc2af345,SEP8C941F2A3087,3333303004 - Office 4 (CRP),683,11
db0cb69f-9010-eab1-2166-28eb81a436a0,SEP689E0B29BBEC,3335133002 - Office 2 (PLB),683,11
f0a9d456-419e-c23a-fd02-b24f18b5a4ad,SEP5488DECE1722,3331513070 - Breakroom (ELK),683,11
47f879b8-56a5-28d1-1db6-a9656cb317d1,SEP0476B037A56F,3333853041 - Office (LFK),683,11
15d6cf87-f036-4c02-2a33-27edca398314,SEPCC7F75046829,FXF - NSL Dale Bailey 3334573901,683,11
1c6b5855-059c-edb2-86bd-70ad8d659a9a,SEP0476B0177B2D,3331273003 - Office (GLR),683,11
8db82b32-3240-d483-501c-26e2fd0d8f13,SEP689E0B29C42F,3336543700 - Dock Stand(EAB),683,11
09c73f2d-e607-db40-3ae2-6c83f33db62f,SEP689E0B299336,3334373800 - Telco Room (NSD),683,11
66a97dbb-3404-f440-29c3-4b44d70a8d11,CSF714238,FXE DFWVK 469-524-5998,503,11
4f00a6f3-eb47-bb83-9b86-a06174aba8be,SEP0476B0177B19,3331423040 - Dispatch (MID),683,11
b3518069-0686-1453-cdcc-dc16c2599f72,SEPCC7F75046349,3334573015 - Zack Larson (NSL),683,11
b9a237ea-ff9d-02c8-8711-8d50ef9aa75b,SEP689E0B298DD1,3334373070 - Employee Breakroom (NSD),683,11
d6f31e15-dff4-b398-1a4e-a03263e83b7a,SEP689E0B2991DD,3338303042 - Timothy Pugh (LFT),683,11
db50a7d7-8320-16b4-dc7a-04f5ed277f2a,SEP689E0B299300,3338303043 - Jeff Futch (LFT),683,11
44ea99a4-d630-b441-5cd0-34335373ec86,SEP689E0B29927C,3338303004 - Monica Malbrough (LFT),683,11
5f576bf1-7de8-bc0c-5618-204e679980b5,SEP689E0B299301,3338303039 - Dock Stand 2 (LFT),683,11
1ccea980-87e5-d167-9cc3-1456746e1316,SEP689E0B2989E9,3338303002 - Office Manager (LFT),683,11
8cbee7ac-7ed9-5196-588d-801f7f09b4e3,SEP689E0B299305,3338303800 - Telco (LFT),683,11
9fad81e8-85b2-4ddf-10f4-d1fdd286b941,SEP689E0B298DD8,3338303800 - Telco (LFT),683,11
a1a1dc78-d541-acde-683b-994bc96466e1,SEP689E0B29BEA4,3338303070 - Breakroom (LFT),683,11
a6491807-a514-23db-8926-ab62bd30e285,SEP689E0B29BEA6,3338303044 - Dispatch (LFT),683,11
ac60d2bf-270b-1bd6-963f-c9c89d3d8e20,SEP689E0B29916F,3338303039 - Dock Stand 2 (LFT),683,11
2f73c2bb-e544-8ca9-6868-1c772ed9e9ab,SEP689E0B29B882,3335443004 - Office 4 (PKB),683,11
0c1b0fbc-b9b4-7fb3-7a75-3dd5200b53f8,SEP689E0B29BCA8,3335443042 - Bobbie Hayes (PKB),683,11
0ca05674-c78f-a15a-bbc1-90b57cbf60ca,SEP689E0B29C362,3335443000 - *Open (PKB),683,11
c6e4354b-3be5-e397-a08c-22224c477251,SEP689E0B29BE29,3335443076 - Training Room (PKB),683,11
fec77c36-0f4e-2ccf-3a84-03deb667b4e9,SEPDC774C01954A,3333853002 - Conference (LFK),683,11
2e55f47c-582d-37f9-8c2f-035e0e74d2b5,SEP689E0B1B3C38,3333853700 - Dock Stand 1 (LFK),683,11
a76aff8e-25ea-c92d-7a8c-86f8b5f41459,SEP0476B037A561,3333853001 - Office (LFK),683,11
b571b2c2-79c4-0a1c-e728-b0adb811c3b9,SEP689E0B1B3C3A,3333853042 - Dispatch (LFK),683,11
3e7ff357-fbdd-61b2-4b7b-9c85d696ffed,SEP0476B07E132A,3331273000 - SCM Katie Anderson (GLR),683,11
373de7be-acb4-3085-71e5-24980555c765,SEP0476B04757C0,3331273004 - Office (GLR),683,11
e3a71c1e-2c00-ee15-6366-9a676a0c5b3a,SEP00CCFC4A471A,3335333076 - Felicia McWilliams (OAK),683,11
03108ce2-6797-80b0-d564-b7f0a9ae607f,SEP5006AB098146,3335333002 - Lindsey Gomez  (OAK),684,11
0916b81f-4cec-c619-f486-3c57d6de4093,SEP00AF1F9D582D,3335333014 - Diana Bogosian (OAK),683,11
4bc4e99c-a0cc-a6c0-0b18-edc07f2e650d,SEP00AF1F9D56B4,3335333023 - Cathi Navarette (OAK),683,11
93d29971-df25-4c05-6537-afad96146693,SEP00AF1F9D1F16,3335333040 - Ernie Lozano (OAK),683,11
b06a6145-bb58-a81a-d694-8b89be5e9e50,SEP00AF1F9D583A,3335333029 - Asinate Tuifao (OAK),683,11
